datetime,open,high,low,close,volume,hold,symbol,period
2025-09-11 10:49:00,80080.0,80080.0,80080.0,80080.0,5,17555,CU2509,1
2025-09-11 10:50:00,80080.0,80080.0,80080.0,80080.0,0,17555,CU2509,1
2025-09-11 10:51:00,80080.0,80090.0,80080.0,80090.0,50,17515,CU2509,1
2025-09-11 10:52:00,80090.0,80100.0,80090.0,80090.0,60,17455,CU2509,1
2025-09-11 10:53:00,80090.0,80090.0,80090.0,80090.0,0,17455,CU2509,1
2025-09-11 10:54:00,80090.0,80110.0,80090.0,80100.0,15,17440,CU2509,1
2025-09-11 10:55:00,80100.0,80110.0,80100.0,80110.0,10,17430,CU2509,1
2025-09-11 10:56:00,80110.0,80110.0,80100.0,80100.0,65,17415,CU2509,1
2025-09-11 10:57:00,80100.0,80100.0,80090.0,80090.0,85,17330,CU2509,1
2025-09-11 10:58:00,80090.0,80100.0,80090.0,80100.0,10,17320,CU2509,1
2025-09-11 10:59:00,80100.0,80100.0,80090.0,80090.0,60,17260,CU2509,1
2025-09-11 11:00:00,80090.0,80090.0,80090.0,80090.0,25,17245,CU2509,1
2025-09-11 11:01:00,80090.0,80100.0,80090.0,80100.0,30,17215,CU2509,1
2025-09-11 11:02:00,80100.0,80100.0,80100.0,80100.0,40,17195,CU2509,1
2025-09-11 11:03:00,80100.0,80110.0,80100.0,80110.0,45,17160,CU2509,1
2025-09-11 11:04:00,80110.0,80110.0,80110.0,80110.0,10,17150,CU2509,1
2025-09-11 11:05:00,80110.0,80110.0,80110.0,80110.0,5,17145,CU2509,1
2025-09-11 11:06:00,80110.0,80130.0,80110.0,80130.0,85,17140,CU2509,1
2025-09-11 11:07:00,80130.0,80130.0,80110.0,80110.0,80,17140,CU2509,1
2025-09-11 11:08:00,80110.0,80110.0,80110.0,80110.0,65,17135,CU2509,1
2025-09-11 11:09:00,80110.0,80130.0,80110.0,80130.0,80,17095,CU2509,1
2025-09-11 11:10:00,80130.0,80130.0,80130.0,80130.0,20,17070,CU2509,1
2025-09-11 11:11:00,80130.0,80150.0,80130.0,80150.0,10,17040,CU2509,1
2025-09-11 11:12:00,80150.0,80150.0,80150.0,80150.0,20,17040,CU2509,1
2025-09-11 11:13:00,80150.0,80150.0,80150.0,80150.0,0,17040,CU2509,1
2025-09-11 11:14:00,80150.0,80170.0,80150.0,80170.0,25,17015,CU2509,1
2025-09-11 11:15:00,80170.0,80170.0,80170.0,80170.0,25,16990,CU2509,1
2025-09-11 11:16:00,80170.0,80170.0,80160.0,80160.0,25,16990,CU2509,1
2025-09-11 11:17:00,80160.0,80160.0,80150.0,80150.0,5,16990,CU2509,1
2025-09-11 11:18:00,80160.0,80160.0,80160.0,80160.0,20,16990,CU2509,1
2025-09-11 11:19:00,80160.0,80160.0,80160.0,80160.0,15,16990,CU2509,1
2025-09-11 11:20:00,80160.0,80160.0,80160.0,80160.0,10,16980,CU2509,1
2025-09-11 11:21:00,80160.0,80160.0,80130.0,80150.0,40,16980,CU2509,1
2025-09-11 11:22:00,80150.0,80150.0,80150.0,80150.0,30,16960,CU2509,1
2025-09-11 11:23:00,80150.0,80150.0,80150.0,80150.0,10,16960,CU2509,1
2025-09-11 11:24:00,80150.0,80150.0,80140.0,80150.0,55,16940,CU2509,1
2025-09-11 11:25:00,80150.0,80150.0,80140.0,80140.0,40,16940,CU2509,1
2025-09-11 11:26:00,80140.0,80140.0,80140.0,80140.0,0,16940,CU2509,1
2025-09-11 11:27:00,80140.0,80140.0,80130.0,80130.0,30,16910,CU2509,1
2025-09-11 11:28:00,80130.0,80130.0,80130.0,80130.0,30,16880,CU2509,1
2025-09-11 11:29:00,80130.0,80130.0,80130.0,80130.0,25,16860,CU2509,1
2025-09-11 11:30:00,80130.0,80140.0,80130.0,80140.0,20,16840,CU2509,1
2025-09-11 13:31:00,80130.0,80130.0,80060.0,80090.0,15,16760,CU2509,1
2025-09-11 13:32:00,80090.0,80090.0,80080.0,80080.0,15,16730,CU2509,1
2025-09-11 13:33:00,80080.0,80080.0,80070.0,80070.0,20,16675,CU2509,1
2025-09-11 13:34:00,80060.0,80070.0,80060.0,80070.0,5,16645,CU2509,1
2025-09-11 13:35:00,80070.0,80070.0,80070.0,80070.0,20,16635,CU2509,1
2025-09-11 13:36:00,80060.0,80070.0,80060.0,80070.0,5,16625,CU2509,1
2025-09-11 13:37:00,80070.0,80070.0,80070.0,80070.0,5,16615,CU2509,1
2025-09-11 13:38:00,80070.0,80080.0,80070.0,80080.0,5,16575,CU2509,1
2025-09-11 13:39:00,80080.0,80080.0,80080.0,80080.0,15,16550,CU2509,1
2025-09-11 13:40:00,80080.0,80080.0,80080.0,80080.0,5,16545,CU2509,1
2025-09-11 13:41:00,80090.0,80090.0,80090.0,80090.0,0,16550,CU2509,1
2025-09-11 13:42:00,80090.0,80100.0,80090.0,80090.0,120,16435,CU2509,1
2025-09-11 13:43:00,80090.0,80100.0,80090.0,80090.0,50,16400,CU2509,1
2025-09-11 13:44:00,80080.0,80080.0,80070.0,80080.0,55,16375,CU2509,1
2025-09-11 13:45:00,80080.0,80080.0,80080.0,80080.0,0,16375,CU2509,1
2025-09-11 13:46:00,80080.0,80080.0,80070.0,80070.0,35,16375,CU2509,1
2025-09-11 13:47:00,80070.0,80070.0,80070.0,80070.0,0,16375,CU2509,1
2025-09-11 13:48:00,80070.0,80090.0,80070.0,80090.0,15,16340,CU2509,1
2025-09-11 13:49:00,80090.0,80110.0,80090.0,80110.0,5,16335,CU2509,1
2025-09-11 13:50:00,80110.0,80110.0,80110.0,80110.0,45,16290,CU2509,1
2025-09-11 13:51:00,80110.0,80110.0,80110.0,80110.0,10,16225,CU2509,1
2025-09-11 13:52:00,80110.0,80120.0,80110.0,80120.0,5,16185,CU2509,1
2025-09-11 13:53:00,80120.0,80120.0,80110.0,80110.0,55,16175,CU2509,1
2025-09-11 13:54:00,80110.0,80110.0,80110.0,80110.0,60,16175,CU2509,1
2025-09-11 13:55:00,80120.0,80120.0,80100.0,80100.0,200,16130,CU2509,1
2025-09-11 13:56:00,80100.0,80110.0,80080.0,80080.0,10,16125,CU2509,1
2025-09-11 13:57:00,80080.0,80080.0,80060.0,80060.0,15,16110,CU2509,1
2025-09-11 13:58:00,80060.0,80060.0,80060.0,80060.0,0,16110,CU2509,1
2025-09-11 13:59:00,80060.0,80070.0,80050.0,80050.0,90,16020,CU2509,1
2025-09-11 14:00:00,80050.0,80050.0,80050.0,80050.0,5,15995,CU2509,1
2025-09-11 14:01:00,80060.0,80060.0,80050.0,80060.0,30,15985,CU2509,1
2025-09-11 14:02:00,80070.0,80070.0,80070.0,80070.0,5,15965,CU2509,1
2025-09-11 14:03:00,80070.0,80070.0,80040.0,80040.0,130,15890,CU2509,1
2025-09-11 14:04:00,80040.0,80050.0,80040.0,80040.0,25,15890,CU2509,1
2025-09-11 14:05:00,80040.0,80040.0,80040.0,80040.0,5,15890,CU2509,1
2025-09-11 14:06:00,80040.0,80040.0,80040.0,80040.0,0,15890,CU2509,1
2025-09-11 14:07:00,80040.0,80040.0,80030.0,80040.0,15,15880,CU2509,1
